brand,name,price_usd,price_bdt,image_url,fan_rpm,noise_level,color,radiator_size,height_mm
Thermalright,Thermalright Peerless Assassin 120 SE,34.9,4711.5,,,25.6,Black / Silver,,
ARCTIC,ARCTIC Liquid Freezer III Pro 360,84.99,11473.65,,,,Black,,
Cooler Master,Cooler Master Hyper 212 Black Edition,25.99,3508.65,,,"6.5,26",Black,,
Thermalright,Thermalright Phantom Spirit 120 SE ARGB,37.9,5116.5,,,25.6,Black / Silver,,
Thermalright,Thermalright Aqua Elite V3,54.9,7411.5,,,25.6,Black,,
Noctua,Noctua NH-D15 chromax.black,139.94,18891.9,,,"19.2,24.6",Black,,
NZXT,NZXT Kraken 360,179.99,24298.65,,,"17.9,30.6",Black,,
Corsair,Corsair NAUTILUS 360 RS ARGB,129.99,17548.65,,,34,Black,,
ARCTIC,ARCTIC Liquid Freezer III 360 A-RGB,159.99,21598.65,,,,Black,,
Thermalright,Thermalright Assassin X 120 Refined SE,17.89,2415.15,,,25.6,Black / Silver,,
Cooler Master,Cooler Master MasterLiquid 360L Core ARGB,74.98,10122.3,,,27.2,Black,,
ARCTIC,ARCTIC Liquid Freezer III Pro A-RGB 360,93.99,12688.65,,,,Black,,
Thermalright,Thermalright Phantom Spirit 120 SE,35.9,4846.5,,,25.6,Black / Silver,,
ID-COOLING,ID-COOLING SE-214-XT ARGB,17.98,2427.3,,,"13.8,30.5",Black,,
NZXT,NZXT Kraken 240,99.99,13498.65,,,"17.9,30.6",Black,,
Thermalright,Thermalright Aqua Elite V3,44.9,6061.5,,,25.6,Black,,
Thermalright,Thermalright Peerless Assassin 120 SE ARGB,36.9,4981.5,,,25.6,Black,,
ARCTIC,ARCTIC Liquid Freezer III 360 A-RGB,149.99,20248.65,,,,White,,
AMD,AMD Wraith Prism,62.35,8417.25,,,42,,,
ARCTIC,ARCTIC Freezer 36,44.19,5965.65,,,,Black,,
Corsair,Corsair NAUTILUS 360 RS ARGB,129.99,17548.65,,,34,White,,
ARCTIC,ARCTIC Liquid Freezer III Pro A-RGB 360,100.49,13566.15,,,,White,,
Thermalright,Thermalright Phantom Spirit EVO,59.99,8098.65,,,27,Black,,
Noctua,Noctua NH-D15,129.94,17541.9,,,"19.2,24.6",,,
be quiet!,be quiet! Dark Rock Pro 5,99.9,13486.5,,,"8.9,23.3",Black,,
NZXT,NZXT Kraken 360 RGB,219.99,29698.65,,,"17.9,30.6",White,,
Asus,Asus ROG STRIX LC 360 RGB GUNDAM,1621.0,218835.0,,,37.6,White,,
Thermalright,Thermalright Frozen Notte ARGB,55.39,7477.65,,,27.7,Black,,
Thermalright,Thermalright Peerless Assassin 120 SE WHITE ARGB,36.9,4981.5,,,25.6,White,,
ARCTIC,ARCTIC Liquid Freezer III Pro,70.98,9582.3,,,,Black,,
Corsair,Corsair iCUE LINK TITAN 360 RX LCD,194.99,26323.65,,,"10,36",Black,,
ID-COOLING,ID-COOLING FROZN A620 PRO SE,29.99,4048.65,,,27.2,Black,,
Noctua,Noctua NH-L9x65 chromax.black,79.95,10793.25,,,"14.8,23.6",Black,,
Thermalright,Thermalright Assassin King SE ARGB,19.09,2577.15,,,25.6,White,,
Lian,Lian Li Galahad II Trinity SL-INF,168.99,22813.65,,,29,Black,,
NZXT,NZXT Kraken 360 RGB,199.99,26998.65,,,"17.9,30.6",Black,,
Noctua,Noctua NH-L9A-AM5,49.95,6743.25,,,"14.8,23.6",Brown / Silver,,
Thermalright,Thermalright Assassin X SE,16.89,2280.15,,,23.85,Black / Silver,,
Asus,Asus ROG Ryujin III 360 ARGB Extreme,374.99,50623.65,,,36,Black,,
Thermalright,Thermalright Aqua Elite V3,54.59,7369.65,,,25.6,White,,
Cooler Master,Cooler Master MasterLiquid 240L Core ARGB,84.99,11473.65,,,27.2,Black,,
Thermalright,Thermalright AQUA ELITE ARGB V4,60.9,8221.5,,,25.6,Black,,
Lian,Lian Li Hydroshift LCD 360S,179.99,24298.65,,,29.8,White,,
ID-COOLING,ID-COOLING SE-903-XT,14.99,2023.65,,,25.8,Black,,
Cooler Master,Cooler Master Hyper 212 (2023),25.99,3508.65,,,32.8,Black,,
Lian,Lian Li Hydroshift LCD 360S,174.49,23556.15,,,29.8,Black,,
Cooler Master,Cooler Master Hyper 212 Spectrum V3,16.98,2292.3,,,27.2,Black / Silver,,
Noctua,Noctua NH-L9A-AM5 CHROMAX.BLACK,59.95,8093.25,,,"14.8,23.6",Black,,
