brand,name,price_usd,price_bdt,image_url,socket,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,has_integrated_graphics
AMD,AMD Ryzen 7 9800X3D,451.5,60952.5,,AM5,8,4.7,5.2,Zen 5,120,Radeon,True
AMD,AMD Ryzen 7 7800X3D,340.05,45906.75,,AM5,8,4.2,5.0,Zen 4,120,Radeon,True
AMD,AMD Ryzen 5 7600X,170.49,23016.15,,AM5,6,4.7,5.3,Zen 4,105,Radeon,True
AMD,AMD Ryzen 5 9600X,204.99,27673.65,,AM5,6,3.9,5.4,Zen 5,65,Radeon,True
AMD,AMD Ryzen 7 7700X,242.98,32802.3,,AM5,8,4.5,5.4,Zen 4,105,Radeon,True
AMD,AMD Ryzen 9 9950X3D,649.99,87748.65,,AM5,16,4.3,5.7,Zen 5,170,Radeon,True
AMD,AMD Ryzen 5 5500,74.22,10019.7,,AM4,6,3.6,4.2,Zen 3,65,,False
AMD,AMD Ryzen 7 9700X,305.89,41295.15,,AM5,8,3.8,5.5,Zen 5,65,Radeon,True
AMD,AMD Ryzen 5 5600X,158.99,21463.65,,AM4,6,3.7,4.6,Zen 3,65,,False
AMD,AMD Ryzen 5 5600,125.61,16957.35,,AM4,6,3.5,4.4,Zen 3,65,,False
AMD,AMD Ryzen 7 5800X,179.95,24293.25,,AM4,8,3.8,4.7,Zen 3,105,,False
Intel,Intel Core i7-14700K,297.17,40117.95,,LGA1700,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,True
Intel,Intel Core i9-14900K,439.0,59265.0,,LGA1700,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,True
Intel,Intel Core i5-12400F,108.99,14713.65,,LGA1700,6,2.5,4.4,Alder Lake,65,,False
AMD,AMD Ryzen 5 3600,79.75,10766.25,,AM4,6,3.6,4.2,Zen 2,65,,False
AMD,AMD Ryzen 5 7600,196.97,26590.95,,AM5,6,3.8,5.1,Zen 4,65,Radeon,True
AMD,AMD Ryzen 7 5700X,154.99,20923.65,,AM4,8,3.4,4.6,Zen 3,65,,False
AMD,AMD Ryzen 9 7900X,314.11,42404.85,,AM5,12,4.7,5.6,Zen 4,170,Radeon,True
AMD,AMD Ryzen 9 9900X,359.0,48465.0,,AM5,12,4.4,5.6,Zen 5,120,Radeon,True
Intel,Intel Core i5-14600K,189.99,25648.65,,LGA1700,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,True
Intel,Intel Core Ultra 7 265K,269.99,36448.65,,LGA1851,20,3.9,5.5,Arrow Lake,125,Intel Xe,True
AMD,AMD Ryzen 7 5700X3D,313.3,42295.5,,AM4,8,3.0,4.1,Zen 3,105,,False
Intel,Intel Core i5-14400F,125.99,17008.65,,LGA1700,10,2.5,4.7,Raptor Lake Refresh,65,,False
AMD,AMD Ryzen 9 9950X,533.83,72067.05,,AM5,16,4.3,5.7,Zen 5,170,Radeon,True
AMD,AMD Ryzen 5 7500F,,,,AM5,6,3.7,5.0,Zen 4,65,,False
AMD,AMD Ryzen 7 5800XT,140.0,18900.0,,AM4,8,3.8,4.8,Zen 3,105,,False
Intel,Intel Core Ultra 9 285K,559.99,75598.65,,LGA1851,24,3.7,5.7,Arrow Lake,125,Intel Xe,True
