brand,name,price_usd,price_bdt,image_url,socket,chipset,form_factor,max_memory_gb,memory_slots,memory_type,m2_slots,color
Asus,Asus PRIME B650-PLUS WIFI,159.99,21598.65,,AM5,,ATX,192,4,,,Black / Silver
MSI,MSI B650 GAMING PLUS WIFI,169.99,22948.65,,AM5,,ATX,192,4,,,Black
MSI,MSI MAG B650 TOMAHAWK WIFI,189.42,25571.7,,AM5,,ATX,256,4,,,Black
Gigabyte,Gigabyte X870E AORUS ELITE WIFI7,325.31,43916.85,,AM5,,ATX,256,4,,,Black
Asus,Asus PRIME B550M-A WIFI II,99.99,13498.65,,AM4,,Micro ATX,128,4,,,Blue / Silver
Gigabyte,Gigabyte B650 EAGLE AX,157.99,21328.65,,AM5,,ATX,192,4,,,Gray / Black
Asus,Asus TUF GAMING B850-PLUS WIFI,217.99,29428.65,,AM5,,ATX,192,4,,,Black / Silver
ASRock,ASRock B650M Pro RS WiFi,139.99,18898.65,,AM5,,Micro ATX,256,4,,,Black / Silver
MSI,MSI MAG X870 TOMAHAWK WIFI,269.99,36448.65,,AM5,,ATX,256,4,,,Black
Gigabyte,Gigabyte A520M K V2,68.47,9243.45,,AM4,,Micro ATX,64,2,,,Brown / Black
Asus,Asus B650E MAX GAMING WIFI W,149.99,20248.65,,AM5,,ATX,256,4,,,White
MSI,MSI PRO B650-S WIFI,135.99,18358.65,,AM5,,ATX,192,4,,,Black
Gigabyte,Gigabyte B550M K,99.99,13498.65,,AM4,,Micro ATX,128,4,,,Brown / Silver
ASRock,ASRock B850I Lightning WiFi,253.44,34214.4,,AM5,,Mini ITX,128,2,,,Black
MSI,MSI B760 GAMING PLUS WIFI,169.99,22948.65,,LGA1700,,ATX,192,4,,,Black / Silver
MSI,MSI PRO B550M-VC WIFI,99.99,13498.65,,AM4,,Micro ATX,128,4,,,Black
MSI,MSI PRO Z790-A MAX WIFI,220.0,29700.0,,LGA1700,,ATX,192,4,,,Silver / Black
Asus,Asus TUF GAMING B650-PLUS WIFI,159.99,21598.65,,AM5,,ATX,128,4,,,Black
Gigabyte,Gigabyte X870 EAGLE WIFI7,229.99,31048.65,,AM5,,ATX,256,4,,,Black
Gigabyte,Gigabyte X870 AORUS ELITE WIFI7 ICE,299.99,40498.65,,AM5,,ATX,256,4,,,White
