brand,name,price_usd,price_bdt,image_url,wattage,efficiency_rating,modular,form_factor,color
MSI,MSI MAG A750GL PCIE5,109.99,14848.65,,750,gold,Full,ATX,Black
MSI,MSI MAG A850GL PCIE5,121.99,16468.65,,850,gold,Full,ATX,Black
MSI,MSI MAG A650BN,74.98,10122.3,,650,bronze,false,ATX,Black
Corsair,Corsair RM1000e (2023),179.99,24298.65,,1000,gold,Full,ATX,Black
Corsair,Corsair RM750e (2025),99.99,13498.65,,750,,Full,ATX,Black
Corsair,Corsair RM850e (2025),119.99,16198.65,,850,,Full,ATX,Black
MSI,MSI MAG A550BN,54.99,7423.65,,550,bronze,false,ATX,Black
Corsair,Corsair RM850x (2024),144.99,19573.65,,850,,Full,ATX,Black
Corsair,Corsair SF1000 (2024),239.99,32398.65,,1000,platinum,Full,SFX,Black
MSI,MSI MAG A650GL,129.94,17541.9,,650,gold,Full,ATX,Black
Cooler Master,Cooler Master MWE Gold 850 - V2,89.99,12148.65,,850,gold,Full,ATX,Black
Thermaltake,Thermaltake Smart,39.95,5393.25,,500,plus,false,ATX,
Corsair,Corsair SF750 (2024),179.99,24298.65,,750,platinum,Full,SFX,Black
Montech,Montech CENTURY II,89.9,12136.5,,850,gold,Full,ATX,Black
Corsair,Corsair RM1000x (2024),209.95,28343.25,,1000,,Full,ATX,Black
Corsair,Corsair CX (2023),69.98,9447.3,,650,bronze,false,ATX,Black
Asus,Asus ROG THOR 1600T Gaming,986.98,133242.3,,1600,titanium,Full,ATX,Silver / Black
be quiet!,be quiet! Pure Power 12 M,124.9,16861.5,,850,gold,Full,ATX,Black
MSI,MSI MAG A850GL PCIE5,132.99,17953.65,,850,gold,Full,ATX,White
Corsair,Corsair RM850,124.99,16873.65,,850,gold,Full,ATX,White / Black
Thermaltake,Thermaltake Smart,44.99,6073.65,,600,plus,false,ATX,
Corsair,Corsair SF850 (2024),194.99,26323.65,,850,platinum,Full,SFX,Black
Corsair,Corsair RM1000e (2025),159.99,21598.65,,1000,,Full,ATX,Black
Corsair,Corsair RM650e (2025),104.99,14173.65,,650,,Full,ATX,Black
be quiet!,be quiet! Pure Power 12 M,98.9,13351.5,,750,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GX2,69.98,9447.3,,600,gold,false,ATX,Black
Lian,Lian Li EDGE,182.28,24607.8,,1000,platinum,Full,ATX,White
Apevia,Apevia Galaxy,54.99,7423.65,,650,gold,Semi,ATX,Black
Thermaltake,Thermaltake Toughpower GF1 (2024),103.99,14038.65,,850,gold,Full,ATX,Black
MSI,MSI MAG A750BN PCIE5,74.98,10122.3,,750,bronze,false,ATX,Black
Lian,Lian Li SP,127.99,17278.65,,750,gold,Full,SFX,Black
Cooler Master,Cooler Master V850 SFX GOLD,149.99,20248.65,,850,gold,Full,SFX,Black
Corsair,Corsair AX1600i,609.99,82348.65,,1600,titanium,Full,ATX,
Corsair,Corsair CX (2023),64.98,8772.3,,550,bronze,false,ATX,Black
be quiet!,be quiet! Dark Power 13,267.36,36093.6,,1000,titanium,Full,ATX,Black
Corsair,Corsair RM750e (2025),109.99,14848.65,,750,,Full,ATX,White
Corsair,Corsair HX1500i (2023),258.99,34963.65,,1500,platinum,Full,ATX,Black
Corsair,Corsair CX650M (2021),74.98,10122.3,,650,bronze,Semi,ATX,Black
Corsair,Corsair RM750x (2024),119.99,16198.65,,750,,Full,ATX,Black
SAMA,SAMA GT,69.99,9448.65,,650,gold,Full,ATX,Black
Asus,Asus ROG STRIX 1200P Gaming,254.99,34423.65,,1200,platinum,Full,ATX,Black / Silver
Corsair,Corsair RM750,119.95,16193.25,,750,gold,Full,ATX,White / Black
Montech,Montech CENTURY II,109.9,14836.5,,1050,gold,Full,ATX,Black
Corsair,Corsair RM850e (2023),189.99,25648.65,,850,gold,Full,ATX,Black
Lian,Lian Li SP750,115.99,15658.65,,750,gold,Full,SFX,White
Corsair,Corsair HX1200i,219.99,29698.65,,1200,platinum,Full,ATX,Black
Corsair,Corsair RM850x (2021),198.98,26862.3,,850,gold,Full,ATX,Black
Corsair,Corsair RM1000e (2025),199.99,26998.65,,1000,,Full,ATX,White
Gigabyte,Gigabyte P650G,69.99,9448.65,,650,gold,false,ATX,Black
Apevia,Apevia Prestige,51.99,7018.65,,600,gold,false,ATX,Black
Thermaltake,Thermaltake Smart,54.99,7423.65,,700,plus,false,ATX,
Lian,Lian Li EDGE,159.99,21598.65,,1000,platinum,Full,ATX,Black
be quiet!,be quiet! Pure Power 12 M,139.9,18886.5,,1000,gold,Full,ATX,Black
Asus,Asus TUF Gaming 1000G,166.92,22534.2,,1000,gold,Full,ATX,Black
NZXT,NZXT C850 (2024),124.99,16873.65,,850,gold,Full,ATX,Black
Segotep,Segotep GN,59.99,8098.65,,650,gold,false,ATX,Black
Lian,Lian Li EDGE,227.44,30704.4,,1300,platinum,Full,ATX,White
Corsair,Corsair RM750x SHIFT,154.99,20923.65,,750,gold,Full / Side,ATX,Black
Corsair,Corsair CX (2023),89.99,12148.65,,750,bronze,false,ATX,Black
Gigabyte,Gigabyte UD850GM,100.0,13500.0,,850,gold,Full,ATX,Black
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),159.99,21598.65,,850,gold,Full,ATX,Black
Corsair,Corsair CX750M (2021),99.99,13498.65,,750,bronze,Semi,ATX,Black
Lian,Lian Li EDGE GOLD,120.99,16333.65,,850,gold,Full,ATX,White
Apevia,Apevia CAPTAIN,31.99,4318.65,,550,,false,ATX,Black
SAMA,SAMA GT,64.99,8773.65,,650,gold,Full,ATX,White
MSI,MSI A1000G PCIE5,191.0,25785.0,,1000,gold,Full,ATX,Black
Silverstone,Silverstone HELA,540.99,73033.65,,2050,,Full,ATX,Black / White
MSI,MSI MPG A850G PCIE5,164.99,22273.65,,850,gold,Full,ATX,Black
Lian,Lian Li EDGE,205.99,27808.65,,1300,platinum,Full,ATX,Black
Asus,Asus TUF Gaming 850G,133.96,18084.6,,850,gold,Full,ATX,Black
Cooler Master,Cooler Master MWE GOLD 750 V2 FULL MODULAR,103.99,14038.65,,750,gold,Full,ATX,Black
Asus,Asus ROG LOKI,309.99,41848.65,,1200,titanium,Full,SFX,Black / White
be quiet!,be quiet! Dark Power Pro 13,449.9,60736.5,,1600,titanium,Full,ATX,Black
MSI,MSI MAG A650BE,69.98,9447.3,,650,bronze,Semi,ATX,Black
Corsair,Corsair RM850e (2025),129.99,17548.65,,850,,Full,ATX,White
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),129.9,17536.5,,750,gold,Full,ATX,Black
Lian,Lian Li EDGE GOLD,109.99,14848.65,,850,gold,Full,ATX,Black
Cooler Master,Cooler Master V750 SFX GOLD,139.99,18898.65,,750,gold,Full,SFX,Black
Apevia,Apevia Galaxy,69.98,9447.3,,850,gold,Semi,ATX,Black
SAMA,SAMA GT,74.99,10123.65,,750,gold,Full,ATX,White
MSI,MSI MAG A1000GL PCIE5,179.69,24258.15,,1000,gold,Full,ATX,Black
EVGA,EVGA 400 N1,46.25,6243.75,,400,,false,ATX,
Vetroo,Vetroo 50315153244479,89.99,12148.65,,850,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 Snow,129.99,17548.65,,850,gold,Full,ATX,White
Corsair,Corsair HX1500i (2025),348.99,47113.65,,1500,platinum,Full,ATX,Black
NZXT,NZXT C1000 (2024),164.99,22273.65,,1000,gold,Full,ATX,Black
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),186.98,25242.3,,1000,gold,Full,ATX,Black
Vetroo,Vetroo 50315153277247,89.99,12148.65,,850,gold,Full,ATX,White
NZXT,NZXT C1200 (2024),199.99,26998.65,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Smart BM3,69.98,9447.3,,650,bronze,Semi,ATX,Black
be quiet!,be quiet! Power Zone 2,163.41,22060.35,,850,platinum,Full,ATX,Black
be quiet!,be quiet! Pure Power 12 M,94.9,12811.5,,650,gold,Full,ATX,Black
be quiet!,be quiet! Pure Power 11,136.76,18462.6,,400,gold,false,ATX,Black
