brand,name,price_usd,price_bdt,image_url,capacity_gb,ddr_generation,speed_mhz,modules,cas_latency,color,price_per_gb
Corsair,Corsair Vengeance RGB 32 GB,94.99,12823.65,,32,DDR5,6000,"2,16",36,Black,2.968
G.Skill,G.Skill Flare X5 32 GB,89.99,12148.65,,32,DDR5,6000,"2,16",36,Black,2.812
Corsair,Corsair Vengeance LPX 16 GB,45.99,6208.65,,16,DDR4,3200,"2,8",16,Black / Yellow,2.874
Corsair,Corsair Vengeance 32 GB,129.99,17548.65,,32,DDR5,6000,"2,16",30,Black / Gray,4.062
TEAMGROUP,TEAMGROUP T-Create Expert 32 GB,98.99,13363.65,,32,DDR5,6000,"2,16",30,Black,3.093
Corsair,Corsair Vengeance LPX 32 GB,77.98,10527.3,,32,DDR4,3600,"2,16",18,Black / Yellow,2.437
Crucial,Crucial Pro Overclocking 32 GB,84.99,11473.65,,32,DDR5,6000,"2,16",36,Black,2.656
G.Skill,G.Skill Trident Z5 RGB 64 GB,234.99,31723.65,,64,DDR5,6400,"2,32",32,Black / Silver,3.672
Corsair,Corsair Vengeance RGB 64 GB,229.99,31048.65,,64,DDR5,6000,"2,32",30,Black,3.594
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,105.99,14308.65,,32,DDR5,6000,"2,16",30,White,3.312
G.Skill,G.Skill Trident Z5 Neo RGB 32 GB,119.99,16198.65,,32,DDR5,6000,"2,16",30,Black,3.75
Patriot,Patriot Viper Venom 32 GB,85.99,11608.65,,32,DDR5,6000,"2,16",30,Black / White,2.687
Corsair,Corsair Vengeance RGB Pro 32 GB,115.0,15525.0,,32,DDR4,3600,"2,16",18,Black,3.594
TEAMGROUP,TEAMGROUP T-Force Delta RGB 32 GB,105.99,14308.65,,32,DDR5,6000,"2,16",30,Black,3.312
Corsair,Corsair Vengeance RGB 32 GB,95.99,12958.65,,32,DDR5,6000,"2,16",36,White / Silver,3
Silicon Power,Silicon Power GAMING 16 GB,32.97,4450.95,,16,DDR4,3200,"2,8",16,Black / Gray,2.061
TEAMGROUP,TEAMGROUP T-Force Vulcan Z 16 GB,38.99,5263.65,,16,DDR4,3200,"2,8",16,Black,2.437
