brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Samsung,Samsung 990 Pro,149.99,20248.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.075
Crucial,Crucial P3 Plus,56.95,7688.25,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Crucial,Crucial P3 Plus,113.95,15383.25,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Samsung,Samsung 990 Pro,299.99,40498.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,4096,0.075
Kingston,Kingston NV3,58.0,7830.0,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Samsung,Samsung 990 Pro,99.99,13498.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.1
Samsung,Samsung 990 EVO Plus,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 5.0 X2,,0.065
Western Digital,Western Digital WD_Black SN850X,154.54,20862.9,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Silicon Power,Silicon Power UD90,92.97,12550.95,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.046
Samsung,Samsung 9100 PRO,429.99,58048.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.107
Samsung,Samsung 990 EVO Plus,74.98,10122.3,,1000,M.2-2280,M.2 PCIe 5.0 X2,,0.075
Klevv,Klevv CRAS C910,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Western Digital,Western Digital Black SN770,77.98,10527.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.078
Crucial,Crucial P3 Plus,44.99,6073.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.09
Western Digital,Western Digital Black SN770,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Samsung,Samsung 870 Evo,92.9,12541.5,,1000,2.5,SATA 6.0 Gb/s,1024,0.093
Western Digital,Western Digital WD_Black SN850X,599.5,80932.5,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Western Digital,Western Digital WD_Black SN850X,268.35,36227.25,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.067
Samsung,Samsung 9100 PRO,229.99,31048.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.115
Kingston,Kingston NV3,114.5,15457.5,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Crucial,Crucial P3 Plus,211.45,28545.75,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.053
Western Digital,Western Digital WD_Black SN850X,91.69,12378.15,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.092
Silicon Power,Silicon Power UD90,51.99,7018.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Western Digital,Western Digital Blue SN580,64.99,8773.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Samsung,Samsung 990 EVO Plus,249.99,33748.65,,4000,M.2-2280,M.2 PCIe 5.0 X2,,0.062
Klevv,Klevv CRAS C910,103.99,14038.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
TEAMGROUP,TEAMGROUP MP44L,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Intel,Intel SSDPEDMD020T401,3937.0,531495.0,,2000,PCIe,PCIe x4,,1.968
SK,SK Hynix Platinum P41,114.99,15523.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Samsung,Samsung 980 Pro,184.95,24968.25,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.092
Samsung,Samsung 970 Evo Plus,134.0,18090.0,,1000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.134
Patriot,Patriot P300,33.99,4588.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.066
Samsung,Samsung 870 Evo,265.0,35775.0,,4000,2.5,SATA 6.0 Gb/s,4096,0.066
Crucial,Crucial T500,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
TEAMGROUP,TEAMGROUP MP33,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
Western Digital,Western Digital Blue SN580,114.99,15523.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Samsung,Samsung 980 Pro,140.0,18900.0,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.14
Crucial,Crucial P310,64.99,8773.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Kingston,Kingston NV2,65.77,8878.95,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.066
Mushkin,Mushkin Source HC,3033.0,409455.0,,16000,2.5,SATA 6.0 Gb/s,,0.19
Sabrent,Sabrent Rocket 4 Plus,1058.89,142950.15,,8000,M.2-2280,M.2 PCIe 4.0 X4,,0.132
TEAMGROUP,TEAMGROUP MP44L,105.99,14308.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.053
Samsung,Samsung 870 Evo,168.74,22779.9,,2000,2.5,SATA 6.0 Gb/s,2048,0.084
Samsung,Samsung 9100 PRO,154.99,20923.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,1024,0.155
Lexar,Lexar NM790,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.062
Crucial,Crucial T705,199.99,26998.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.1
Western Digital,Western Digital WD Blue SN5000,59.79,8071.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.06
Western Digital,Western Digital WD_BLACK SN7100,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.065
Kingston,Kingston NV3,38.99,5263.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.078
Samsung,Samsung 870 Evo,54.99,7423.65,,500,2.5,SATA 6.0 Gb/s,512,0.11
Kingston,Kingston KC3000,161.9,21856.5,,2048,M.2-2280,M.2 PCIe 4.0 X4,,0.079
MSI,MSI SPATIUM M461,89.99,12148.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,
Samsung,Samsung 970 Evo Plus,79.99,10798.65,,500,M.2-2280,M.2 PCIe 3.0 X4,512,0.16
PNY,PNY CS1030,49.99,6748.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.05
Crucial,Crucial P310,112.49,15186.15,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.056
Samsung,Samsung 870 QVO,629.99,85048.65,,8000,2.5,SATA 6.0 Gb/s,,0.079
Western Digital,Western Digital WD_BLACK SN7100,73.0,9855.0,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.073
Crucial,Crucial P3,69.38,9366.3,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.069
Patriot,Patriot Burst Elite,12.49,1686.15,,120,2.5,SATA 6.0 Gb/s,,0.104
Acer,Acer Predator GM7000,124.99,16873.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.062
Kingston,Kingston Fury Renegade,154.0,20790.0,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.077
Crucial,Crucial BX500,66.98,9042.3,,1000,2.5,SATA 6.0 Gb/s,,0.067
Western Digital,Western Digital WD_BLACK SN8100,464.99,62773.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.116
Western Digital,Western Digital WD Green SN3000,67.99,9178.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.068
TEAMGROUP,TEAMGROUP T-FORCE G50,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Samsung,Samsung 970 Evo Plus,189.95,25643.25,,2000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.095
Samsung,Samsung 990 Pro w/Heatsink,159.99,21598.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.08
Lexar,Lexar NM790,67.99,9178.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.068
Samsung,Samsung 990 EVO,129.99,17548.65,,2000,M.2-2280,M.2 PCIe 5.0 X2,,0.065
Western Digital,Western Digital WD_BLACK SN8100,224.99,30373.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,2048,0.112
Samsung,Samsung 980,106.9,14431.5,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.107
Crucial,Crucial T705,389.99,52648.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.097
Crucial,Crucial T500,75.19,10150.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.075
Patriot,Patriot P300,23.49,3171.15,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.092
Patriot,Patriot Viper VP4300 Lite,103.98,14037.3,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Kingston,Kingston A400,24.99,3373.65,,240,2.5,SATA 6.0 Gb/s,,0.104
TEAMGROUP,TEAMGROUP MP33,34.99,4723.65,,512,M.2-2280,M.2 PCIe 3.0 X4,,0.068
TEAMGROUP,TEAMGROUP T-FORCE G50,104.99,14173.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.052
Samsung,Samsung 990 EVO,74.98,10122.3,,1000,M.2-2280,M.2 PCIe 5.0 X2,,0.075
Silicon Power,Silicon Power A60,54.97,7420.95,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
MSI,MSI SPATIUM M480 PRO,119.99,16198.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,2048,0.06
Samsung,Samsung 990 Pro w/Heatsink,315.05,42531.75,,4000,M.2-2280,M.2 PCIe 4.0 X4,4096,0.079
Samsung,Samsung 9100 PRO w/Heatsink,449.99,60748.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,4096,0.112
Crucial,Crucial P510,99.99,13498.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.1
TEAMGROUP,TEAMGROUP MP44L,34.99,4723.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.07
Western Digital,Western Digital Green SN350,55.56,7500.6,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.056
Klevv,Klevv CRAS C910,199.99,26998.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.05
Kingston,Kingston KC3000,99.99,13498.65,,1024,M.2-2280,M.2 PCIe 4.0 X4,,0.098
TEAMGROUP,TEAMGROUP MP33 PRO,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
SK,SK Hynix Platinum P41,79.98,10797.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.08
Lexar,Lexar NM790,230.0,31050.0,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.058
Corsair,Corsair MP700 Elite,198.99,26863.65,,2000,M.2-2280,M.2 PCIe 5.0 X4,,0.099
Samsung,Samsung 980,69.99,9448.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.14
Patriot,Patriot P400 Lite,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.055
Samsung,Samsung 970 Evo,146.13,19727.55,,1000,M.2-2280,M.2 PCIe 3.0 X4,1024,0.146
Silicon Power,Silicon Power UD90,212.99,28753.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.053
TEAMGROUP,TEAMGROUP T-Force Vulcan Z,47.99,6478.65,,1000,2.5,SATA 6.0 Gb/s,,0.048
Kingston,Kingston A400,36.99,4993.65,,480,2.5,SATA 6.0 Gb/s,,0.077
Samsung,Samsung 860 Evo,142.13,19187.55,,1000,2.5,SATA 6.0 Gb/s,1024,0.142
Kingston,Kingston Fury Renegade,117.85,15909.75,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.118
Sabrent,Sabrent Rocket 5,729.99,98548.65,,4000,M.2-2280,M.2 PCIe 5.0 X4,,0.182
PNY,PNY CS1030,29.99,4048.65,,500,M.2-2280,M.2 PCIe 3.0 X4,,0.06
Crucial,Crucial T705,142.99,19303.65,,1000,M.2-2280,M.2 PCIe 5.0 X4,,0.143
Lexar,Lexar NM620,57.99,7828.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.058
Crucial,Crucial BX500,108.99,14713.65,,2000,2.5,SATA 6.0 Gb/s,,0.054
Western Digital,Western Digital WD Blue SN5000,113.99,15388.65,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.057
Silicon Power,Silicon Power A55,45.99,6208.65,,1000,2.5,SATA 6.0 Gb/s,,0.046
Patriot,Patriot P300,54.99,7423.65,,1000,M.2-2280,M.2 PCIe 3.0 X4,,0.055
Western Digital,Western Digital Black SN770,56.99,7693.65,,500,M.2-2280,M.2 PCIe 4.0 X4,,0.114
MSI,MSI SPATIUM M480 PRO,109.67,14805.45,,1000,M.2-2280,M.2 PCIe 4.0 X4,1024,0.11
Patriot,Patriot P300,14.99,2023.65,,128,M.2-2280,M.2 PCIe 3.0 X4,,0.117
TEAMGROUP,TEAMGROUP MP33,103.99,14038.65,,2000,M.2-2280,M.2 PCIe 3.0 X4,,0.052
KIOXIA,KIOXIA EXCERIA PLUS G3,83.78,11310.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.084
