cpu_name,microarchitecture,socket,tdp,core_count
AMD Ryzen 7 9800X3D,Zen 5,AM5,120,8
AMD Ryzen 7 7800X3D,Zen 4,AM5,120,8
AMD Ryzen 5 7600X,Zen 4,AM5,105,6
AMD Ryzen 5 9600X,Zen 5,AM5,65,6
AMD Ryzen 7 7700X,Zen 4,AM5,105,8
AMD Ryzen 9 9950X3D,Zen 5,AM5,170,16
AMD Ryzen 5 5500,Zen 3,AM4,65,6
AMD Ryzen 7 9700X,Zen 5,AM5,65,8
AMD Ryzen 5 5600X,Zen 3,AM4,65,6
AMD Ryzen 5 5600,Zen 3,AM4,65,6
AMD Ryzen 7 5800X,Zen 3,AM4,105,8
Intel Core i7-14700K,Raptor Lake Refresh,LGA1700,125,20
Intel Core i9-14900K,Raptor Lake Refresh,LGA1700,125,24
Intel Core i5-12400F,Alder Lake,LGA1700,65,6
AMD Ryzen 5 3600,Zen 2,AM4,65,6
AMD Ryzen 5 7600,Zen 4,AM5,65,6
AMD Ryzen 7 5700X,Zen 3,AM4,65,8
AMD Ryzen 9 7900X,Zen 4,AM5,170,12
AMD Ryzen 9 9900X,Zen 5,AM5,120,12
Intel Core i5-14600K,Raptor Lake Refresh,LGA1700,125,14
Intel Core Ultra 7 265K,Arrow Lake,LGA1851,125,20
AMD Ryzen 7 5700X3D,Zen 3,AM4,105,8
Intel Core i5-14400F,Raptor Lake Refresh,LGA1700,65,10
AMD Ryzen 9 9950X,Zen 5,AM5,170,16
AMD Ryzen 5 7500F,Zen 4,AM5,65,6
AMD Ryzen 7 5800XT,Zen 3,AM4,105,8
Intel Core Ultra 9 285K,Arrow Lake,LGA1851,125,24
Intel Core i7-12700K,Alder Lake,LGA1700,125,12
AMD Ryzen 5 7600X3D,Zen 4,AM5,65,6
AMD Ryzen 5 5600G,Zen 3,AM4,65,6
AMD Ryzen 7 7700,Zen 4,AM5,65,8
Intel Core i5-13400F,Raptor Lake,LGA1700,65,10
AMD Ryzen 5 7500F,Zen 4,AM5,65,6
Intel Core i7-12700KF,Alder Lake,LGA1700,125,12
AMD Ryzen 9 5900X,Zen 3,AM4,105,12
AMD Ryzen 7 3700X,Zen 2,AM4,65,8
Intel Core i5-12600KF,Alder Lake,LGA1700,125,10
AMD Ryzen 5 8400F,Zen 4,AM5,65,6
AMD Ryzen 5 8500G,Zen 4,AM5,65,6
AMD Threadripper 3990X,Zen 2,AM4,280,64
Intel Core i5-12600K,Alder Lake,LGA1700,125,10
AMD Ryzen 7 5700G,Zen 3,AM4,65,8
AMD Ryzen 9 5950X,Zen 3,AM4,105,16
AMD Ryzen 7 5800X3D,Zen 3,AM4,105,8
Intel Core i3-12100F,Alder Lake,LGA1700,58,4
AMD Ryzen 9 7950X,Zen 4,AM5,170,16
Intel Core i5-14600KF,Raptor Lake Refresh,LGA1700,125,14
AMD Ryzen 5 4500,Zen 2,AM4,65,6
AMD Ryzen 5 8600G,Zen 4,AM5,65,6
AMD Ryzen 7 5700,Zen 3,AM4,65,8
Intel Core i7-14700KF,Raptor Lake Refresh,LGA1700,125,20
Intel Core i9-12900K,Alder Lake,LGA1700,125,16
Intel Core Ultra 7 265KF,Arrow Lake,LGA1851,125,20
AMD Ryzen 9 9900X3D,Zen 5,AM5,120,12
AMD Ryzen 9 7950X3D,Zen 4,AM5,120,16
AMD Ryzen 7 8700G,Zen 4,AM5,65,8
Intel Core i9-14900KF,Raptor Lake Refresh,LGA1700,125,24
Intel Core i7-13700K,Raptor Lake,LGA1700,125,16
Intel Core i5-10400F,Comet Lake,LGA1200,65,6
AMD Ryzen 7 8700F,Zen 4,AM5,65,8
AMD Ryzen 5 2600,Zen+,AM4,65,6
Intel Core i9-14900KS,Raptor Lake Refresh,LGA1700,150,24
AMD Ryzen 5 5600GT,Zen 3,AM4,65,6
Intel Core i5-13600KF,Raptor Lake,LGA1700,125,14
AMD Ryzen 9 5900XT,Zen 3,AM4,105,16
Intel Core i7-14700F,Raptor Lake Refresh,LGA1700,65,20
AMD Ryzen 9 7900,Zen 4,AM5,65,12
Intel Core i7-9700K,Coffee Lake Refresh,LGA1151,95,8
Intel Core i7-8700K,Coffee Lake,LGA1151,95,6
AMD Ryzen 3 3200G,Zen+,AM4,65,4
AMD Ryzen 5 3400G,Zen+,AM4,65,4
Intel Core i9-13900K,Raptor Lake,LGA1700,125,24
Intel Core i5-12400,Alder Lake,LGA1700,65,6
AMD Ryzen 5 3600X,Zen 2,AM4,95,6
Intel Core i9-9900K,Coffee Lake Refresh,LGA1151,95,8
AMD Ryzen 7 2700X,Zen+,AM4,105,8
Intel Core i3-14100F,Raptor Lake Refresh,LGA1700,58,4
Intel Core i9-12900KF,Alder Lake,LGA1700,125,16
AMD Ryzen 5 5600XT,Zen 3,AM4,65,6
Intel Core i5-13600K,Raptor Lake,LGA1700,125,14
Intel Core i7-7700K,Kaby Lake,LGA1151,91,4
AMD Ryzen 3 4100,Zen 2,AM4,65,4
Intel Core Ultra 5 245K,Arrow Lake,LGA1851,125,14
AMD Ryzen 3 3100,Zen 2,AM4,65,4
Intel Core i5-9400F,Coffee Lake Refresh,LGA1151,65,6
Intel Core i7-13700KF,Raptor Lake,LGA1700,125,16
Intel Core i7-10700K,Comet Lake,LGA1200,125,8
Intel Core i5-14400,Raptor Lake Refresh,LGA1700,65,10
AMD Ryzen 9 3900X,Zen 2,AM4,105,12
AMD Ryzen 7 7700,Zen 4,AM5,65,8
Intel Core i7-6700K,Skylake,LGA1151,91,4
AMD Ryzen 7 7800X3D,Zen 4,AM5,120,8
AMD Ryzen 9 7900X3D,Zen 4,AM5,120,12
Intel Core i5-11400F,Rocket Lake,LGA1200,65,6
AMD Threadripper 3970X,Zen 2,AM4,280,32
AMD Ryzen 7 3800X,Zen 2,AM4,105,8
AMD Ryzen 5 2600X,Zen+,AM4,95,6
Intel Core i7-12700F,Alder Lake,LGA1700,65,12
Intel Core i5-9600K,Coffee Lake Refresh,LGA1151,95,6
Intel Core Ultra 5 225F,Arrow Lake,LGA1851,65,10
Intel Core i7-11700K,Rocket Lake,LGA1200,125,8
Intel Core i3-12100,Alder Lake,LGA1700,60,4
Intel Core i5-10400,Comet Lake,LGA1200,65,6
Intel Core i7-8700,Coffee Lake,LGA1151,65,6
Intel Core i3-14100,Raptor Lake Refresh,LGA1700,60,4
Intel Core i3-13100F,Raptor Lake,LGA1700,58,4
Intel Pentium E5700,Wolfdale,Unknown,65,2
Intel Core i9-10900K,Comet Lake,LGA1200,125,10
Intel Core i5-13400,Raptor Lake,LGA1700,65,10
Intel Core i7-7700,Kaby Lake,LGA1151,65,4
Intel Core i7-13700F,Raptor Lake,LGA1700,65,16
Intel Core i5-6500,Skylake,LGA1151,65,4
AMD Ryzen 5 5500GT,Zen 3,AM4,65,6
Intel Core i9-13900KF,Raptor Lake,LGA1700,125,24
AMD Ryzen 5 4600G,Zen 2,AM4,65,6
AMD Ryzen 5 9600,Zen 5,AM5,65,6
Intel Core Ultra 5 235,Arrow Lake,LGA1851,65,14
Intel Core i7-4790K,Haswell Refresh,LGA1150,88,4
Intel Core i5-8400,Coffee Lake,LGA1151,65,6
Intel Core i7-6700,Skylake,LGA1151,65,4
Intel Core Ultra 5 225,Arrow Lake,LGA1851,65,10
AMD Ryzen 5 3500X,Zen 2,AM4,65,6
Intel Core i7-14700,Raptor Lake Refresh,LGA1700,65,20
AMD Ryzen 5 1600 (14nm),Zen,AM4,65,6
Intel Core i9-11900K,Rocket Lake,LGA1200,125,8
Intel Core i7-10700F,Comet Lake,LGA1200,65,8
Intel Core i3-10100F,Comet Lake,LGA1200,65,4
Intel Core i7-11700F,Rocket Lake,LGA1200,65,8
Intel Core i5-13500,Raptor Lake,LGA1700,65,14
Intel Pentium E2220,Core,Unknown,65,2
Intel Core i7-12700,Alder Lake,LGA1700,65,12
AMD Ryzen 5 3600,Zen 2,AM4,65,6
Intel Core i5-10600K,Comet Lake,LGA1200,125,6
Intel Core i5-6600K,Skylake,LGA1151,91,4
Intel Core Ultra 9 285,Arrow Lake,LGA1851,65,24
Intel Core i7-4770K,Haswell,LGA1150,84,4
Intel Core i7-3770,Ivy Bridge,LGA1155,77,4
Intel Core i7-10700,Comet Lake,LGA1200,65,8
AMD Ryzen 9 3950X,Zen 2,AM4,105,16
Intel Core i3-6100,Skylake,LGA1151,51,2
AMD Threadripper 3960X,Zen 2,AM4,280,24
AMD Ryzen 7 2700,Zen+,AM4,65,8
Intel Core i5-7500,Kaby Lake,LGA1151,65,4
Intel Core i5-14500,Raptor Lake Refresh,LGA1700,65,14
Intel Core i7-9700,Coffee Lake Refresh,LGA1151,65,8
Intel Core Ultra 7 265,Arrow Lake,LGA1851,65,20
Intel Core i5-11400,Rocket Lake,LGA1200,65,6
Intel Core i9-10850K,Comet Lake,LGA1200,125,10
Intel Core i5-7400,Kaby Lake,LGA1151,65,4
Intel Core i9-13900KS,Raptor Lake,LGA1700,150,24
Intel Core Ultra 7 265F,Arrow Lake,LGA1851,65,20
Intel Core i3-8100,Coffee Lake,LGA1151,65,4
Intel Core i7-4790,Haswell Refresh,LGA1150,84,4
Intel Xeon E5-2699 V4,Broadwell,LGA1150,145,22
Intel Core i5-4690K,Haswell Refresh,LGA1150,88,4
Intel Xeon E5-2680 V4,Broadwell,LGA1150,120,14
Intel Core i9-12900KS,Alder Lake,LGA1700,150,16
AMD Ryzen 7 1700,Zen,AM4,65,8
Intel Core i5-8600K,Coffee Lake,LGA1151,95,6
Intel Core i3-10100,Comet Lake,LGA1200,65,4
Intel Pentium G640,Sandy Bridge,LGA1155,65,2
Intel Core i9-9900KF,Coffee Lake Refresh,LGA1151,95,8
Intel Core i7-9700F,Coffee Lake Refresh,LGA1151,65,8
AMD EPYC 4564P,Zen 4,AM5,170,16
AMD Ryzen 3 2200G,Zen,AM4,65,4
AMD Ryzen 5 2400G,Zen,AM4,65,4
Intel Core i5-12500,Alder Lake,LGA1700,65,6
AMD Ryzen 5 5600X3D,Zen 3,AM4,105,6
Intel Core i3-9100F,Coffee Lake Refresh,LGA1151,65,4
Intel Core i5-8500,Coffee Lake,LGA1151,65,6
Intel Core i5-11600K,Rocket Lake,LGA1200,125,6
Intel Core i5-7500T,Kaby Lake,LGA1151,35,4
Intel Core i5-4590,Haswell Refresh,LGA1150,84,4
AMD Ryzen 5 1600 (12nm),Zen+,AM4,65,6
AMD Athlon 3000G (14nm),Zen,AM4,35,2
Intel Core i7-10700KF,Comet Lake,LGA1200,125,8
Intel Core i7-3770K,Ivy Bridge,LGA1155,77,4
AMD Ryzen 9 3900XT,Zen 2,AM4,105,12
Intel Core i3-10105F,Comet Lake,LGA1200,65,4
Intel Core i5-7600,Kaby Lake,LGA1151,65,4
Intel Core i7-9700KF,Coffee Lake Refresh,LGA1151,95,8
Intel Core i7-4770,Haswell,LGA1150,84,4
Intel Core i5-3470,Ivy Bridge,LGA1155,77,4
AMD FX-8350,Piledriver,AM3+,125,8
AMD Ryzen 7 3700X,Zen 2,AM4,65,8
AMD Ryzen 5 1600X,Zen,AM4,95,6
AMD 2650,Jaguar,AM1,25,2
Intel Core i7-11700KF,Rocket Lake,LGA1200,125,8
Intel Core i3-4150,Haswell Refresh,LGA1150,54,2
Intel Core i7-11700,Rocket Lake,LGA1200,65,8
Intel Core Ultra 5 245KF,Arrow Lake,LGA1851,125,14
Intel Core i7-6950X,Broadwell,LGA1150,140,10
Intel Core i5-7600K,Kaby Lake,LGA1151,91,4
AMD Ryzen 5 3500,Zen 2,AM4,65,6
Intel Core i3-13100,Raptor Lake,LGA1700,60,4
Intel Core i9-11900KF,Rocket Lake,LGA1200,125,8
AMD Ryzen 7 1700X,Zen,AM4,95,8
AMD Ryzen 7 3800XT,Zen 2,AM4,105,8
Intel Core i5-9400F,Coffee Lake Refresh,LGA1151,65,6
Intel Core i7-13700,Raptor Lake,LGA1700,65,16
AMD Ryzen 3 3300X,Zen 2,AM4,65,4
Intel Core i9-14900F,Raptor Lake Refresh,LGA1700,65,24
AMD Ryzen 7 1800X,Zen,AM4,95,8
AMD Ryzen 5 3600XT,Zen 2,AM4,95,6
Intel Core i5-4570,Haswell,LGA1150,84,4
AMD Ryzen 5 7600X3D,Zen 4,AM5,65,6
Intel Core i5-11600KF,Rocket Lake,LGA1200,125,6
Intel Core i5-2400,Sandy Bridge,LGA1155,95,4
Intel Core i5-9600KF,Coffee Lake Refresh,LGA1151,95,6
Intel Core i5-9400,Coffee Lake Refresh,LGA1151,65,6
Intel Core i3-10105,Comet Lake,LGA1200,65,4
Intel Core i5-4460,Haswell Refresh,LGA1150,84,4
AMD Ryzen 3 1200 (14nm),Zen,AM4,65,4
AMD Ryzen 5 3600,Zen 2,AM4,65,6
Intel Core i5-10600KF,Comet Lake,LGA1200,125,6
AMD Ryzen 5 1400,Zen,AM4,65,4
Intel Core i5-6400,Skylake,LGA1151,65,4
